Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_350nlmin_15cm_4-30-2024_Slot2-91_5923.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_350nlmin_15cm_4-30-2024_Slot2-91_5924.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_350nlmin_15cm_4-30-2024_Slot2-91_5925.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_400nlmin_15cm_4-30-2024_Slot2-91_5926.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_400nlmin_15cm_4-30-2024_Slot2-91_5927.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_400nlmin_15cm_4-30-2024_Slot2-91_5928.d
Q9NQ88	Q9NQ88	TIGAR_HUMAN	TIGAR	Fructose-2,6-bisphosphatase TIGAR		254.961	190.928			
Q9NQC3	Q9NQC3	RTN4_HUMAN	RTN4	Reticulon-4	4061.55	2699.01	3727.2	4493.51	3830.34	4151.87
Q9NQG5	Q9NQG5	RPR1B_HUMAN	RPRD1B	Regulation of nuclear pre-mRNA domain-containing protein 1B	1030.56	957.056	1729.63	609.752	839.503	952.746
Q9NQP4	Q9NQP4	PFD4_HUMAN	PFDN4	Prefoldin subunit 4	1466.84	1092.45	1409.02	1029.63	1729.46	1194.56
Q9NQR4	Q9NQR4	NIT2_HUMAN	NIT2	Omega-amidase NIT2	1354.12	1783.81	1431.45	1204.59	1443.33	1606.96
Q9NQT4	Q9NQT4	EXOS5_HUMAN	EXOSC5	Exosome complex component RRP46		422.651		558.814	1097.74	766.715
Q9NQT5	Q9NQT5	EXOS3_HUMAN	EXOSC3	Exosome complex component RRP40		1491.88	1459.33	1709.51	1203.47	1195.11
Q9NQW6	Q9NQW6	ANLN_HUMAN	ANLN	Anillin	271.011	270.015		1036.53	652.718	549.137
Q9NQW7	Q9NQW7	XPP1_HUMAN	XPNPEP1	Xaa-Pro aminopeptidase 1	862.204	993.712	461.311	1424.98	681.551	1015.51
Q9NQX3	Q9NQX3	GEPH_HUMAN	GPHN	Gephyrin	496.253	462.914		654.033		
Q9NR12	Q9NR12	PDLI7_HUMAN	PDLIM7	PDZ and LIM domain protein 7	7512.77	6598.43	6502.56	7348.36	6025.94	6582.27
Q9NR28	Q9NR28	DBLOH_HUMAN	DIABLO	Diablo IAP-binding mitochondrial protein		1410.72	1229.83	2289.27		3027.3
Q9NR30	Q9NR30	DDX21_HUMAN	DDX21	Nucleolar RNA helicase 2	4158.94	4817.72	4833.8	4486.49	4668.88	4639.84
Q9NR31	Q9NR31;Q9Y6B6	SAR1A_HUMAN	SAR1A	GTP-binding protein SAR1a	4397.9	5161.49	4407.34	4645.77	4599.32	3715.26
Q9NR33	Q9NR33	DPOE4_HUMAN	POLE4	DNA polymerase epsilon subunit 4	693.804			376.915	521.748	
Q9NR45	Q9NR45	SIAS_HUMAN	NANS	Sialic acid synthase	2022.02	2055.04	2244.09	2252.69	1660.42	1964.25
Q9NR46	Q9NR46	SHLB2_HUMAN	SH3GLB2	Endophilin-B2			744.349	1803.24	1220	528.58
Q9NR50	Q9NR50	EI2BG_HUMAN	EIF2B3	Translation initiation factor eIF-2B subunit gamma		981.321	1268.66	581.247	1241.69	
Q9NRF8	Q9NRF8	PYRG2_HUMAN	CTPS2	CTP synthase 2			1335.74	1263.35		666.033
Q9NRF9	Q9NRF9	DPOE3_HUMAN	POLE3	DNA polymerase epsilon subunit 3	2618.2	2303.46	2174.29	2047.81	1486.54	1405.11
Q9NRG0	Q9NRG0	CHRC1_HUMAN	CHRAC1	Chromatin accessibility complex protein 1	1496.48	1496.54	2884	2488.48	2071.53	1330.89
Q9NRG9	Q9NRG9	AAAS_HUMAN	AAAS	Aladin	1256.94	875.205	1277.04		1454.63	958.98
Q9NRL2	Q9NRL2	BAZ1A_HUMAN	BAZ1A	Bromodomain adjacent to zinc finger domain protein 1A	60417.5			62273.9	66041.3	
Q9NRP0	Q9NRP0	OSTC_HUMAN	OSTC	Oligosaccharyltransferase complex subunit OSTC	2171.65	1536.66	1535.82	1458.89	1671.67	2238.09
Q9NRP2	Q9NRP2	COXM2_HUMAN	CMC2	COX assembly mitochondrial protein 2 homolog	1232.65	1150.19	1655.92	1169.87		1837.1
Q9NRR5	Q9NRR5	UBQL4_HUMAN	UBQLN4	Ubiquilin-4			683.664			
Q9NRV9	Q9NRV9	HEBP1_HUMAN	HEBP1	Heme-binding protein 1	2104.38	2307.44	1576.71	2472.89	1763.33	1960.39
Q9NRW7	Q9NRW7	VPS45_HUMAN	VPS45	Vacuolar protein sorting-associated protein 45		821.188		722.96		599.44
Q9NRX2	Q9NRX2	RM17_HUMAN	MRPL17	39S ribosomal protein L17, mitochondrial	1460.76	1935.14		1696.9	2093.3	1788.86
Q9NRX4	Q9NRX4	PHP14_HUMAN	PHPT1	14 kDa phosphohistidine phosphatase	741.284	544.941	827.304	678.329	1029.11	595.832
Q9NRY5	Q9NRY5	F1142_HUMAN	FAM114A2	Protein FAM114A2			757.146	1044.72		
Q9NRZ9	Q9NRZ9	HELLS_HUMAN	HELLS	Lymphoid-specific helicase		597.754	658.965		659.862	529.123
Q9NS69	Q9NS69	TOM22_HUMAN	TOMM22	Mitochondrial import receptor subunit TOM22 homolog	2086.71	1628.16	1772.68	1507.93	1567.23	1524.03
Q9NSD9	Q9NSD9	SYFB_HUMAN	FARSB	Phenylalanine--tRNA ligase beta subunit	2921.35	3409.82	2798.84	2897.46	3163.26	2763.15
Q9NSE4	Q9NSE4	SYIM_HUMAN	IARS2	Isoleucine--tRNA ligase, mitochondrial	1270.43	1501.22	1439.82	1716.26	1697.7	1431.11
Q9NT62	Q9NT62	ATG3_HUMAN	ATG3	Ubiquitin-like-conjugating enzyme ATG3	903.482	589.93	761.75	847.821	1204.97	511.034
Q9NTI5	Q9NTI5	PDS5B_HUMAN	PDS5B	Sister chromatid cohesion protein PDS5 homolog B	709.857	769.151	645.206			
Q9NTJ3	Q9NTJ3	SMC4_HUMAN	SMC4	Structural maintenance of chromosomes protein 4	1830.38	1807.59	2267.56	1936.01	2087.66	2135.76
Q9NTJ5	Q9NTJ5	SAC1_HUMAN	SACM1L	Phosphatidylinositol-3-phosphatase SAC1	1456.07	1326.48	788.565	1580.69	856.098	861.701
Q9NTK5	Q9NTK5	OLA1_HUMAN	OLA1	Obg-like ATPase 1	4288.67	4650.23	4549.33	5455.74	5332.42	4649.22
Q9NTM9	Q9NTM9	CUTC_HUMAN	CUTC	Copper homeostasis protein cutC homolog			1527.34	1260.14	1450.62	2054.9
Q9NTX5	Q9NTX5	ECHD1_HUMAN	ECHDC1	Ethylmalonyl-CoA decarboxylase	1960.54		789.565	1502.64	656.993	1154.39
Q9NTZ6	Q9NTZ6	RBM12_HUMAN	RBM12	RNA-binding protein 12	1145.04	1567.44	1905.7	1239	1509.78	1342.4
Q9NU22	Q9NU22	MDN1_HUMAN	MDN1	Midasin		1090.71		664.922	742.441	678.284
Q9NUJ1	Q9NUJ1	ABHDA_HUMAN	ABHD10	Palmitoyl-protein thioesterase ABHD10, mitochondrial	1295.9	883.069	1314.01	957.388	740.349	598.052
Q9NUP9	Q9NUP9	LIN7C_HUMAN	LIN7C	Protein lin-7 homolog C	764.721	784.503	1668.95	1222.13	802.287	996.564
Q9NUQ2	Q9NUQ2	PLCE_HUMAN	AGPAT5	1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon			993.71	622.273		
Q9NUQ8	Q9NUQ8	ABCF3_HUMAN	ABCF3	ATP-binding cassette sub-family F member 3			928.206	555.299		418.327
Q9NUQ9	Q9NUQ9;Q9H0Q0	CYRIB_HUMAN	CYRIB	CYFIP-related Rac1 interactor B	2230.16	1670.97	1912.1	2469.91	1920.65	1712.61
Q9NUU6	Q9NUU6	OTULL_HUMAN	OTULINL	Inactive ubiquitin thioesterase OTULINL	1675.78			1697.28		1112.11
Q9NUU7	Q9NUU7;Q9UMR2	DD19A_HUMAN	DDX19A	ATP-dependent RNA helicase DDX19A	1530.51	1364.01	1414.58	1517.3	1163.95	1540.39
Q9NV31	Q9NV31	IMP3_HUMAN	IMP3	U3 small nucleolar ribonucleoprotein protein IMP3	1392.8	860.815	994.967		975.941	672.807
Q9NV70	Q9NV70	EXOC1_HUMAN	EXOC1	Exocyst complex component 1	1072.3	360.042			3272.41	
Q9NVA2	Q9NVA2	SEP11_HUMAN	SEPTIN11	Septin-11	2245.64	1767.86	2248.92	2103.12	2282.84	1832.62
Q9NVA4	Q9NVA4	T184C_HUMAN	TMEM184C	Transmembrane protein 184C			506.757			
Q9NVD7	Q9NVD7;Q9HBI1	PARVA_HUMAN	PARVA	Alpha-parvin	1471.6	1556.19	1710.74	1690.97	1346.11	1418.91
Q9NVG8	Q9NVG8	TBC13_HUMAN	TBC1D13	TBC1 domain family member 13				500.167		965.345
Q9NVH1	Q9NVH1	DJC11_HUMAN	DNAJC11	DnaJ homolog subfamily C member 11	918.774		625.862		646.384	523.652
Q9NVI1	Q9NVI1	FANCI_HUMAN	FANCI	Fanconi anemia group I protein	1302.65	1362.7	1170.18	1177.6	937.974	687.608
Q9NVI7	Q9NVI7;Q5T9A4	ATD3A_HUMAN	ATAD3A	ATPase family AAA domain-containing protein 3A	3760.52	3968.84	4044.58	4067.27	3364.41	3537.37
Q9NVJ2	Q9NVJ2;Q96BM9	ARL8B_HUMAN	ARL8B	ADP-ribosylation factor-like protein 8B	2860.26	2592.55	1823.04	2793.3	2890.79	2061.4
Q9NVM6	Q9NVM6	DJC17_HUMAN	DNAJC17	DnaJ homolog subfamily C member 17		636.087			1002.88	
Q9NVM9	Q9NVM9	INT13_HUMAN	INTS13	Integrator complex subunit 13	668.727		884.294		707.063	
Q9NVN8	Q9NVN8	GNL3L_HUMAN	GNL3L	Guanine nucleotide-binding protein-like 3-like protein				1674	1570.39	891.089
Q9NVP1	Q9NVP1	DDX18_HUMAN	DDX18	ATP-dependent RNA helicase DDX18	1543.95	1466.96	1370.46	1315.36	1104.11	1086.54
Q9NVS2	Q9NVS2	RT18A_HUMAN	MRPS18A	39S ribosomal protein S18a, mitochondrial	757.992	1150.57	1357.74	1962.33	1530.67	
Q9NVS9	Q9NVS9	PNPO_HUMAN	PNPO	Pyridoxine-5'-phosphate oxidase	1465.09	1442.25	1497.33	1914.53	1398.91	1388.41
Q9NVU7	Q9NVU7	SDA1_HUMAN	SDAD1	Protein SDA1 homolog	1034.99				566.832	589.087
Q9NVV4	Q9NVV4	PAPD1_HUMAN	MTPAP	Poly(A) RNA polymerase, mitochondrial		659.436				417.651
Q9NVX2	Q9NVX2	NLE1_HUMAN	NLE1	Notchless protein homolog 1					832.891	
Q9NVZ3	Q9NVZ3	NECP2_HUMAN	NECAP2	Adaptin ear-binding coat-associated protein 2				468.722		
Q9NW13	Q9NW13	RBM28_HUMAN	RBM28	RNA-binding protein 28		945.664	904.582	827.069	1611.82	954.728
Q9NW15	Q9NW15	ANO10_HUMAN	ANO10	Anoctamin-10	871.331		645.1		602.907	639.144
Q9NW64	Q9NW64	RBM22_HUMAN	RBM22	Pre-mRNA-splicing factor RBM22	1163.04				499.764	909.49
Q9NW82	Q9NW82	WDR70_HUMAN	WDR70	WD repeat-containing protein 70		1148.76			1004.96	1079.02
Q9NWB6	Q9NWB6	ARGL1_HUMAN	ARGLU1	Arginine and glutamate-rich protein 1		1038.98		1142.1		3720.56
Q9NWH9	Q9NWH9	SLTM_HUMAN	SLTM	SAFB-like transcription modulator		528.035	555.98		609.594	
Q9NWS0	Q9NWS0	PIHD1_HUMAN	PIH1D1	PIH1 domain-containing protein 1	715.834		896.917	1280.15		1232.04
Q9NWU1	Q9NWU1	OXSM_HUMAN	OXSM	3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial	426.299					
Q9NWU5	Q9NWU5	RM22_HUMAN	MRPL22	39S ribosomal protein L22, mitochondrial	1372.93	878.869	920.71	785.461	1309.69	1242.48
Q9NWV4	Q9NWV4	CZIB_HUMAN	CZIB	CXXC motif containing zinc binding protein	1389.85	1175.91	1338.58	1192.6	882.125	947.124
Q9NWV8	Q9NWV8	BABA1_HUMAN	BABAM1	BRISC and BRCA1-A complex member 1	1599.9					
Q9NWY4	Q9NWY4	HPF1_HUMAN	HPF1	Histone PARylation factor 1	297.994			384.214		
Q9NX14	Q9NX14	NDUBB_HUMAN	NDUFB11	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial	3086.66	3647.74	4012.06	3149.6	3948.89	3444.55
Q9NX20	Q9NX20	RM16_HUMAN	MRPL16	39S ribosomal protein L16, mitochondrial		2110.83	861.191	299.96	1431.92	495.487
Q9NX24	Q9NX24	NHP2_HUMAN	NHP2	H/ACA ribonucleoprotein complex subunit 2	1422.53	1180.01	1270.9	1541.48	1212.8	1415.55
Q9NX40	Q9NX40	OCAD1_HUMAN	OCIAD1	OCIA domain-containing protein 1	2672.81	2550.19	2845.64	2759.56	2228.84	3180.29
Q9NX46	Q9NX46	ADPRS_HUMAN	ADPRS	ADP-ribosylhydrolase ARH3	588.861	380.288	129.422	1132.69	981.527	581.487
Q9NX55	Q9NX55	HYPK_HUMAN	HYPK	Huntingtin-interacting protein K	623.983	508.054	862.673	939.996		817.665
Q9NX63	Q9NX63	MIC19_HUMAN	CHCHD3	MICOS complex subunit MIC19	2419.05	2610.99	2923.05	3253.29	2927.69	2987.8
Q9NXE4	Q9NXE4	NSMA3_HUMAN	SMPD4	Sphingomyelin phosphodiesterase 4	716.18	447.897	1301.9	981.446		767.537
Q9NXF1	Q9NXF1	TEX10_HUMAN	TEX10	Testis-expressed protein 10	201.927	721.703				
Q9NXG2	Q9NXG2	THUM1_HUMAN	THUMPD1	THUMP domain-containing protein 1	728.291	552.894	507.208	685.321	583.337	1072.53
Q9NXH9	Q9NXH9	TRM1_HUMAN	TRMT1	tRNA (guanine(26)-N(2))-dimethyltransferase		1144.19	814.729	594.201	745.315	571.69
Q9NXS2	Q9NXS2	QPCTL_HUMAN	QPCTL	Glutaminyl-peptide cyclotransferase-like protein		1956.59		1099.24		598.761
Q9NXV6	Q9NXV6	CARF_HUMAN	CDKN2AIP	CDKN2A-interacting protein	789.406	984.079	1185.95	1066.18	1010.37	970.685
Q9NY12	Q9NY12	GAR1_HUMAN	GAR1	H/ACA ribonucleoprotein complex subunit 1	1945.48	1850.99	2092.13	1641.09	2385.23	2298.79
Q9NY27	Q9NY27	PP4R2_HUMAN	PPP4R2	Serine/threonine-protein phosphatase 4 regulatory subunit 2	358.304	581.03	1034.04			973.359
Q9NY33	Q9NY33	DPP3_HUMAN	DPP3	Dipeptidyl peptidase 3	1296.38	1690.45	1422.83	1510.36	1104.13	1467.95
Q9NY93	Q9NY93	DDX56_HUMAN	DDX56	Probable ATP-dependent RNA helicase DDX56	1009.82	1131.86	878.164	579.055	827.792	857.916
Q9NYF8	Q9NYF8	BCLF1_HUMAN	BCLAF1	Bcl-2-associated transcription factor 1	2172.11	2876.44	3127.07	2277.34	2438.5	1795.25
Q9NYJ1	Q9NYJ1	COA4_HUMAN	COA4	Cytochrome c oxidase assembly factor 4 homolog, mitochondrial	739.287	740.243	1089.19	661.481		614.597
Q9NYK5	Q9NYK5	RM39_HUMAN	MRPL39	39S ribosomal protein L39, mitochondrial	1229.13	1248.11	897.208	1264.31	877.68	1273.11
Q9NYL4	Q9NYL4	FKB11_HUMAN	FKBP11	Peptidyl-prolyl cis-trans isomerase FKBP11	1379.55	1940.59	2063.07	914.692	1436.04	992.431
Q9NYL9	Q9NYL9	TMOD3_HUMAN	TMOD3	Tropomodulin-3	2774.5	3086.01	2799.85	2465.91	2717.3	3061.87
Q9NYP7	Q9NYP7	ELOV5_HUMAN	ELOVL5	Elongation of very long chain fatty acids protein 5		1130.05			969.494	1078.51
Q9NYU2	Q9NYU2	UGGG1_HUMAN	UGGT1	UDP-glucose:glycoprotein glucosyltransferase 1	1699.71	1219.95	1480.94	1308.52	1298.36	1224.68
Q9NYY8	Q9NYY8	FAKD2_HUMAN	FASTKD2	FAST kinase domain-containing protein 2, mitochondrial	423.166		1158.71	943.024		
Q9NZ01	Q9NZ01	TECR_HUMAN	TECR	Very-long-chain enoyl-CoA reductase	2429.97	2782.57	1796.88	2429.15	1872.4	2099.67
Q9NZ45	Q9NZ45	CISD1_HUMAN	CISD1	CDGSH iron-sulfur domain-containing protein 1	1876.44	1129.3	1837.04	1614.42	1145.5	2041.26
Q9NZ63	Q9NZ63	TLS1_HUMAN	C9orf78	Telomere length and silencing protein 1 homolog	465.149	121.468	634.913			256.958
Q9NZB2	Q9NZB2	F120A_HUMAN	FAM120A	Constitutive coactivator of PPAR-gamma-like protein 1	1698.13	1048.36	1028.34	989.752	1725.75	1309.86
Q9NZI8	Q9NZI8	IF2B1_HUMAN	IGF2BP1	Insulin-like growth factor 2 mRNA-binding protein 1	1580.18	1356.06	2323.94	1774.36	1312.71	1619.1
Q9NZJ7	Q9NZJ7	MTCH1_HUMAN	MTCH1	Mitochondrial carrier homolog 1	3732.73	3021.07	1982.04	4478.73	2616.99	3486.01
Q9NZL4	Q9NZL4	HPBP1_HUMAN	HSPBP1	Hsp70-binding protein 1	1478.58	1770.44	1551.26	1074.68	1206.07	775.715
Q9NZL9	Q9NZL9	MAT2B_HUMAN	MAT2B	Methionine adenosyltransferase 2 subunit beta	1977.95	1930.96	2244.94	2061.8	1861.18	2153.88
Q9NZM1	Q9NZM1	MYOF_HUMAN	MYOF	Myoferlin	2822.53	2791.61	2854.24	3132.32	3098.48	2630.19
Q9NZN4	Q9NZN4	EHD2_HUMAN	EHD2	EH domain-containing protein 2	2328.53	2997.76	2736.15	3416.19	2619.83	3330.25
Q9NZQ3	Q9NZQ3	SPN90_HUMAN	NCKIPSD	NCK-interacting protein with SH3 domain					487.886	
Q9NZT2	Q9NZT2	OGFR_HUMAN	OGFR	Opioid growth factor receptor		640.541	802.591	676.44	662.493	629.979
Q9NZW5	Q9NZW5	PALS2_HUMAN	PALS2	Protein PALS2		469.15		881.535		
Q9NZZ3	Q9NZZ3	CHMP5_HUMAN	CHMP5	Charged multivesicular body protein 5	1231.38			1602.91		
Q9P000	Q9P000	COMD9_HUMAN	COMMD9	COMM domain-containing protein 9	429.334	582.943	385.285	950.697	907.235	1043.47
Q9P013	Q9P013	CWC15_HUMAN	CWC15	Spliceosome-associated protein CWC15 homolog		527.587	299.194	929.94	1043.78	980.282
Q9P015	Q9P015	RM15_HUMAN	MRPL15	39S ribosomal protein L15, mitochondrial	1593.15	2561.47	2010.52	2695.6	1999.69	572.13
Q9P016	Q9P016	THYN1_HUMAN	THYN1	Thymocyte nuclear protein 1					646.24	831.54
Q9P035	Q9P035	HACD3_HUMAN	HACD3	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3	579.197	711.374			630.014	741.097
Q9P0I2	Q9P0I2	EMC3_HUMAN	EMC3	ER membrane protein complex subunit 3	176.897	530.831	407.537	218.725		515.263
Q9P0J0	Q9P0J0	NDUAD_HUMAN	NDUFA13	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13			562.581	1184.28	957.568	764.554
Q9P0K7	Q9P0K7	RAI14_HUMAN	RAI14	Ankycorbin	1614.24	1453.22	1693.23	1726.07	1600.23	586.916
Q9P0L0	Q9P0L0	VAPA_HUMAN	VAPA	Vesicle-associated membrane protein-associated protein A	5449.87	5256.45	3604.57	4564.47	5198.02	4828.17
Q9P0M9	Q9P0M9	RM27_HUMAN	MRPL27	39S ribosomal protein L27, mitochondrial	1168.41	649.393	822.385	1646.74	755.505	
Q9P0U1	Q9P0U1	TOM7_HUMAN	TOMM7	Mitochondrial import receptor subunit TOM7 homolog	2667.66		2072.84	2565.33	1806.85	1556.38
Q9P0V3	Q9P0V3	SH3B4_HUMAN	SH3BP4	SH3 domain-binding protein 4	1292.72	1345.35	1650.05	1614.86	1450.54	1355.03
Q9P0V9	Q9P0V9	SEP10_HUMAN	SEPTIN10	Septin-10	470.005	801.929	336.961		327.409	1079.17
Q9P0W2	Q9P0W2	HM20B_HUMAN	HMG20B	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related					878.439	
Q9P206	Q9P206	K1522_HUMAN	KIAA1522	Uncharacterized protein KIAA1522	2179.2	2497.43	1979.13		1166.93	
Q9P209	Q9P209	CEP72_HUMAN	CEP72	Centrosomal protein of 72 kDa				22628.9		20760.2
Q9P258	Q9P258	RCC2_HUMAN	RCC2	Protein RCC2	3482.72	3776.23	3618.63	3618.04	4359.89	3626.23
Q9P265	Q14689;Q9P265	DIP2B_HUMAN	DIP2B	Disco-interacting protein 2 homolog B		821.688			814.601	
Q9P287	Q9P287	BCCIP_HUMAN	BCCIP	BRCA2 and CDKN1A-interacting protein	1398.76	1401.13	1404.59	934.204	1333.43	1345.84
Q9P289	Q9Y6E0;Q9P289;O00506	STK26_HUMAN	STK26	Serine/threonine-protein kinase 26	1916.03	2028.24	1818.96	2087.3	1938.36	2755.55
Q9P2B2	Q9P2B2	FPRP_HUMAN	PTGFRN	Prostaglandin F2 receptor negative regulator	697.04	1811.13	920.883	740.044	1018.73	1037.33
Q9P2B4	Q9P2B4	CT2NL_HUMAN	CTTNBP2NL	CTTNBP2 N-terminal-like protein	1347.35	569.066	1244.88	1856.45		
Q9P2D7	Q9P2D7	DYH1_HUMAN	DNAH1	Dynein axonemal heavy chain 1		1335.21			1562.52	1475.94
Q9P2E9	Q9P2E9	RRBP1_HUMAN	RRBP1	Ribosome-binding protein 1	2735.73	2610.69	3116.03	2898.97	2834.52	2985.08
Q9P2I0	Q9P2I0	CPSF2_HUMAN	CPSF2	Cleavage and polyadenylation specificity factor subunit 2	380.305	656.5		408.893	433.266	408.793
Q9P2J5	Q9P2J5	SYLC_HUMAN	LARS1	Leucine--tRNA ligase, cytoplasmic	3952.32	3531.73	3178.98	3847.29	3823.84	3626.04
Q9P2N5	Q9P2N5	RBM27_HUMAN	RBM27	RNA-binding protein 27	1953.99	834.264	854.006	1091.72	590.51	260.709
Q9P2R3	Q9P2R3	ANFY1_HUMAN	ANKFY1	Rabankyrin-5			378.952		447.901	399.988
Q9P2R7	Q9P2R7	SUCB1_HUMAN	SUCLA2	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial	2131.32	3278.42	3303.66	2951.76	713.477	1535.72
Q9P2X0	Q9P2X0	DPM3_HUMAN	DPM3	Dolichol-phosphate mannosyltransferase subunit 3	1890.44	2073.63	1823.89	1754.02	1984.55	1713.7
Q9UBB4	Q9UBB4	ATX10_HUMAN	ATXN10	Ataxin-10	3599.74	2729.66	3442.1	2965.19	3361.21	3888.12
Q9UBB6	Q9UBB6	NCDN_HUMAN	NCDN	Neurochondrin	773.219	867.25		551.814		
Q9UBC2	Q9UBC2	EP15R_HUMAN	EPS15L1	Epidermal growth factor receptor substrate 15-like 1	586.757	705.36				1134.32
Q9UBE0	Q9UBE0	SAE1_HUMAN	SAE1	SUMO-activating enzyme subunit 1	3026.36	3211.14	3032.1	3220.9	2454.92	3262.64
Q9UBF2	Q9UBF2	COPG2_HUMAN	COPG2	Coatomer subunit gamma-2	619.362			845.99		557.314
Q9UBG0	Q9UBG0	MRC2_HUMAN	MRC2	C-type mannose receptor 2	593.81				599.76	930.79
Q9UBI6	Q9UBI6	GBG12_HUMAN	GNG12	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12	4238.33	4306.03	3432.92	3805.14	4761.98	3707.85
Q9UBK8	Q9UBK8	MTRR_HUMAN	MTRR	Methionine synthase reductase		495.501		363.455	599.641	515.642
Q9UBK9	Q9UBK9	UXT_HUMAN	UXT	Protein UXT	439.656	660.2				
Q9UBM7	Q9UBM7	DHCR7_HUMAN	DHCR7	7-dehydrocholesterol reductase	2455.84	2672.53	2985.65	3811.42	3942.62	2781.29
Q9UBQ0	Q9UBQ0	VPS29_HUMAN	VPS29	Vacuolar protein sorting-associated protein 29	2125.81	2434.74	1954.4	1847.22	2673.77	2162.01
Q9UBQ5	Q9UBQ5	EIF3K_HUMAN	EIF3K	Eukaryotic translation initiation factor 3 subunit K	2696.83	2608.39	2799.22	3978.29	2741.1	2940.39
Q9UBQ7	Q9UBQ7	GRHPR_HUMAN	GRHPR	Glyoxylate reductase/hydroxypyruvate reductase	3463.03	2809.47	2989.57	3164.87	2883.77	2634.71
Q9UBR2	Q9UBR2	CATZ_HUMAN	CTSZ	Cathepsin Z	3104.64	3402.8	2842.23	3359.79	2880.82	4046.4
Q9UBS4	Q9UBS4	DJB11_HUMAN	DNAJB11	DnaJ homolog subfamily B member 11	1708.09	1652.32	1664.07	1455.38	1852.63	1695
Q9UBT2	Q9UBT2	SAE2_HUMAN	UBA2	SUMO-activating enzyme subunit 2	2725.9	2509.55	2720.42	2514.33	2049.42	2884.6
Q9UBU8	Q9UBU8	MO4L1_HUMAN	MORF4L1	Mortality factor 4-like protein 1	1018.2					
Q9UBU9	Q9UBU9	NXF1_HUMAN	NXF1	Nuclear RNA export factor 1	1177.54	1321.95	780.043	1236.35	1117.55	1257.98
Q9UBV8	Q9UBV8	PEF1_HUMAN	PEF1	Peflin	1602.33	1137.94	1603.48	1328.9	1384.93	1203.17
Q9UBW8	Q9UBW8	CSN7A_HUMAN	COPS7A	COP9 signalosome complex subunit 7a	3319.29	2267.83	1201.07	969.65	1695.37	1001.69
Q9UBX3	Q9UBX3	DIC_HUMAN	SLC25A10	Mitochondrial dicarboxylate carrier	1775.87	1625.06	1908	1731.2	1665.69	1743.99
Q9UDW1	Q9UDW1	QCR9_HUMAN	UQCR10	Cytochrome b-c1 complex subunit 9	1819.81	2182.35	1296.67	2534.33	1413.25	1700.3
Q9UDX5	Q9UDX5	MTFP1_HUMAN	MTFP1	Mitochondrial fission process protein 1					294.172	556.94
Q9UDY4	Q9UDY4	DNJB4_HUMAN	DNAJB4	DnaJ homolog subfamily B member 4	2662.02	1952.76	1843.9	1810.87	2271.84	2516.61
Q9UEE9	Q9UEE9	CFDP1_HUMAN	CFDP1	Craniofacial development protein 1	1293.19	978.561	1518.38		492.008	876.086
Q9UEW8	Q9UEW8	STK39_HUMAN	STK39	STE20/SPS1-related proline-alanine-rich protein kinase				171.132	363.191	475.915
Q9UEY8	Q9UEY8	ADDG_HUMAN	ADD3	Gamma-adducin		489.591	764.464			
Q9UFC0	Q9UFC0	LRWD1_HUMAN	LRWD1	Leucine-rich repeat and WD repeat-containing protein 1	373.012	1075.28	538.117	1271.76	878.04	654.429
Q9UFW8	Q9UFW8	CGBP1_HUMAN	CGGBP1	CGG triplet repeat-binding protein 1	406.815	763.711	1018.04			725.042
Q9UG63	Q9UG63	ABCF2_HUMAN	ABCF2	ATP-binding cassette sub-family F member 2	1597.64	1430.7	1408.03	1605.7	1546.1	1666.8
Q9UGI8	Q9UGI8	TES_HUMAN	TES	Testin	3765.53	3712.88	3904.45	3799.16	3276.76	3496.73
Q9UGJ1	Q9UGJ1	GCP4_HUMAN	TUBGCP4	Gamma-tubulin complex component 4	582.885					343.456
Q9UGP8	Q9UGP8	SEC63_HUMAN	SEC63	Translocation protein SEC63 homolog	819.711	775.709	1115.1	1161.34	755.82	700.161
Q9UGV2	Q9UGV2	NDRG3_HUMAN	NDRG3	Protein NDRG3	1160.42	1468.05	1181.64	1389.41	1332.57	1198.96
Q9UH62	Q9UH62	ARMX3_HUMAN	ARMCX3	Armadillo repeat-containing X-linked protein 3	726.419	683.604	561.045	1273.47	1342.69	2014.4
